id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
65,,697,67,1,10,302.71,462.2,25597.06,fecha_emision_vacio
67,2025-11-22,1246,31,6,5,,359.79,258570.08,prima_vacio
69,2025-05-22,2178,76,1,4,,20.56,7505.94,prima_vacio
70,2025-03-09,730,78,15,4,,146.22,147931.73,prima_vacio
73,2025-03-01,841,26,7,12,,,33023.9,"prima_vacio,comision_vacio"
75,2025-11-21,1345,51,15,1,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
76,2025-09-20,2671,14,9,5,1563.09,381.13,,monto_asegurado_vacio
79,2025-06-24,2375,66,4,10,1055.66,,142122.95,comision_vacio
81,2025-11-30,2745,13,13,11,1688.38,,151662.62,comision_vacio
83,2025-04-25,357,18,15,11,1612.27,182.21,,monto_asegurado_vacio
87,2025-03-18,2217,98,11,12,1283.02,,94028.85,comision_vacio
89,2025-10-23,2963,77,1,5,1372.83,,34680.04,comision_vacio
90,,753,20,1,10,916.04,219.65,129872.69,fecha_emision_vacio
92,,2659,25,11,4,,325.08,191582.82,"fecha_emision_vacio,prima_vacio"
94,2026-04-02,222,41,5,10,1141.34,169.15,,monto_asegurado_vacio
96,2025-10-18,1708,3,11,7,1777.93,,176358.08,comision_vacio
98,,2106,65,10,8,1909.32,153.95,143459.97,fecha_emision_vacio
100,2025-12-20,2627,52,7,5,1998.94,487.51,,monto_asegurado_vacio
101,2025-07-04,976,48,11,11,,125.52,93713.3,prima_vacio
102,,5,66,13,12,1386.05,204.0,251864.93,fecha_emision_vacio
105,2025-12-27,2797,80,3,1,209.72,52.0,,monto_asegurado_vacio
107,2025-07-27,1165,15,6,12,,50.04,87472.59,prima_vacio
109,2025-11-03,2693,6,13,6,,184.48,96331.45,prima_vacio
110,2026-12-01,185,46,8,5,,31.43,74435.27,prima_vacio
111,2025-02-16,2833,8,15,12,,222.8,185637.48,prima_vacio
113,2025-12-03,1715,34,3,6,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
114,,1155,61,11,5,1237.26,,124263.17,"fecha_emision_vacio,comision_vacio"
115,2026-11-02,739,11,5,7,203.12,17.6,,monto_asegurado_vacio
117,2025-03-01,2501,18,12,10,,2636.59,188099.37,prima_vacio
119,2025-07-04,1678,71,13,7,,,58628.84,"prima_vacio,comision_vacio"
120,2025-04-29,419,49,1,3,1427.78,,265973.38,comision_vacio
121,2025-05-26,1222,59,14,6,,,141963.43,"prima_vacio,comision_vacio"
122,2025-08-02,318,41,12,5,726.1,161.45,,monto_asegurado_vacio
123,2025-09-25,721,44,3,2,1879.38,437.85,,monto_asegurado_vacio
124,2025-11-07,2155,40,3,9,1027.93,83.53,,monto_asegurado_vacio
126,2025-10-07,1595,18,7,9,,291.84,,"prima_vacio,monto_asegurado_vacio"
128,2025-08-06,711,25,11,3,,379.89,175091.88,prima_vacio
131,2025-08-01,1953,72,9,2,751.39,,101267.63,comision_vacio
132,2025-05-23,2110,34,12,11,890.91,177.49,,monto_asegurado_vacio
134,2025-09-07,1690,4,11,9,1209.55,,42728.3,comision_vacio
136,,1873,36,14,4,685.85,97.17,,"fecha_emision_vacio,monto_asegurado_vacio"
137,,2544,48,8,12,1837.21,337.23,134569.61,fecha_emision_vacio
138,2025-11-29,984,50,3,10,,95.54,58320.88,prima_vacio
139,2025-03-09,2715,47,3,1,1887.69,,300624.49,comision_vacio
142,,821,56,4,5,1305.77,272.72,31298.47,fecha_emision_vacio
145,2025-04-20,2461,80,7,12,393.01,55.94,,monto_asegurado_vacio
146,2025-12-23,2899,27,9,2,,,143545.57,"prima_vacio,comision_vacio"
147,2025-10-24,1556,53,5,6,357.68,26.25,,monto_asegurado_vacio
152,2025-07-04,2349,79,7,4,0.0,,17302.97,comision_vacio
153,2026-01-28,1016,28,12,8,165.57,24.61,,monto_asegurado_vacio
154,2025-04-12,1023,24,4,5,,,73105.67,"prima_vacio,comision_vacio"
155,2025-05-05,1918,43,10,12,,9.96,3222.28,prima_vacio
156,2025-11-06,462,28,10,2,1793.62,,288252.92,comision_vacio
157,2025-08-10,2910,63,4,7,1762.17,,96305.3,comision_vacio
158,2025-08-04,1121,67,7,12,985.24,189.5,,monto_asegurado_vacio
161,,1392,35,7,6,1824.05,155.21,167233.6,fecha_emision_vacio
165,2026-02-04,2934,78,10,2,842.46,196.92,,monto_asegurado_vacio
168,2025-06-25,691,65,1,1,268.88,65.44,,monto_asegurado_vacio
169,,1166,41,10,3,,93.67,84578.57,"fecha_emision_vacio,prima_vacio"
171,2025-05-19,2320,39,9,5,225.23,,16197.54,comision_vacio
173,2025-12-31,1935,13,14,2,,116.08,128228.92,prima_vacio
174,2026-01-05,9,63,12,10,,70.76,11842.93,prima_vacio
175,,2362,59,6,5,386.3,78.61,68440.5,fecha_emision_vacio
177,2025-03-22,355,72,14,1,1123.67,,56048.07,comision_vacio
179,2025-05-01,2432,3,8,1,,240.54,260639.14,prima_vacio
180,2025-09-13,2894,5,10,9,507.43,,64390.94,comision_vacio
181,2025-01-31,1945,37,11,5,,210.72,,"prima_vacio,monto_asegurado_vacio"
182,,1953,74,6,1,1725.25,,94698.24,"fecha_emision_vacio,comision_vacio"
184,2025-04-27,1373,12,7,9,,128.95,49518.48,prima_vacio
187,2025-04-01,2226,75,5,3,1327.21,,240624.13,comision_vacio
188,2025-10-01,1151,47,7,11,,102.66,130925.71,prima_vacio
190,2025-12-07,2854,70,13,4,953.96,,93787.36,comision_vacio
193,2025-07-22,1786,56,15,12,1316.23,,,"comision_vacio,monto_asegurado_vacio"
195,2025-10-17,1641,31,15,11,911.44,,129241.82,comision_vacio
197,2025-04-15,1558,49,4,11,1498.66,,228469.92,comision_vacio
201,2025-06-29,2011,32,12,5,,209.81,147542.55,prima_vacio
202,2025-09-14,2346,4,11,6,,,159867.32,"prima_vacio,comision_vacio"
203,2025-08-16,1121,32,14,5,741.78,127.03,,monto_asegurado_vacio
208,2025-06-10,3614,78,4,4,472.52,36.01,,monto_asegurado_vacio
209,2026-02-07,1974,25,13,9,72.55,18.01,,monto_asegurado_vacio
210,2025-07-17,2680,12,10,5,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
211,2025-09-30,1795,11,9,7,,237.61,171128.94,prima_vacio
212,2025-09-09,2876,13,10,7,213.27,,12711.02,comision_vacio
215,2025-02-26,483,71,7,1,,104.78,58056.65,prima_vacio
216,2025-04-04,1330,46,10,12,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
218,2025-04-22,3630,1,9,2,,88.01,,"prima_vacio,monto_asegurado_vacio"
219,2025-02-22,1052,5,13,9,,176.78,205287.05,prima_vacio
220,2025-12-21,1871,34,6,7,,144.19,127817.41,prima_vacio
223,2025-09-23,1312,75,15,1,312.76,,44896.28,comision_vacio
229,2025-12-24,2625,10,5,1,1624.52,,263502.43,comision_vacio
230,2025-12-19,1245,6,13,3,238.5,,44718.94,comision_vacio
231,2025-01-22,2790,73,7,3,1729.95,,161771.05,comision_vacio
233,,2619,42,4,6,277.67,63.81,54034.44,fecha_emision_vacio
234,2025-04-28,2270,68,3,9,,157.51,380748.51,prima_vacio
235,,2895,65,8,2,,,193621.53,"fecha_emision_vacio,prima_vacio,comision_vacio"
237,2025-02-11,1137,37,6,3,,268.64,106698.49,prima_vacio
239,2025-05-31,1236,77,10,8,760.38,,111154.53,comision_vacio
240,,536,15,6,10,,180.09,79238.61,"fecha_emision_vacio,prima_vacio"
241,2025-03-02,657,22,3,4,,199.83,,"prima_vacio,monto_asegurado_vacio"
243,2025-10-09,634,16,14,3,1585.52,283.81,,monto_asegurado_vacio
244,2026-01-26,1804,18,7,5,,133.24,81691.01,prima_vacio
245,2025-07-25,2704,51,1,5,,274.71,41044.61,prima_vacio
246,2025-09-24,2695,40,14,7,735.39,59.42,,monto_asegurado_vacio
247,2026-01-07,924,49,5,11,,131.17,274013.46,prima_vacio
248,2025-11-15,1011,64,10,4,1846.72,,320537.24,comision_vacio
249,2025-07-09,1500,73,4,6,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
250,2025-04-02,1771,63,14,3,424.38,72.81,,monto_asegurado_vacio
251,2025-06-21,1262,68,1,5,601.96,120.32,,monto_asegurado_vacio
252,,1575,33,14,8,1422.87,76.42,,"fecha_emision_vacio,monto_asegurado_vacio"
254,2025-06-06,917,23,1,6,1042.39,132.79,,monto_asegurado_vacio
255,2025-03-22,2003,60,1,2,275.48,,,"comision_vacio,monto_asegurado_vacio"
256,2025-07-28,2083,71,12,9,,326.26,,"prima_vacio,monto_asegurado_vacio"
257,2025-04-19,2855,25,14,7,,132.4,17045.13,prima_vacio
259,2025-11-28,148,17,5,1,1560.57,,170301.72,comision_vacio
260,2025-01-14,971,57,13,6,595.33,132.98,,monto_asegurado_vacio
262,2025-02-14,1441,1,12,7,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
265,2025-12-08,184,62,13,9,264.84,,20928.09,comision_vacio
267,2025-01-17,761,60,1,12,836.8,,67062.51,comision_vacio
268,,1635,13,14,4,1161.47,87.66,126085.89,fecha_emision_vacio
270,2025-05-17,168,64,1,8,1079.04,,153797.15,comision_vacio
271,2025-04-20,1773,43,11,5,1395.69,,101033.61,comision_vacio
272,,2717,50,13,5,529.12,126.8,,"fecha_emision_vacio,monto_asegurado_vacio"
273,2025-12-04,2346,41,12,10,470.44,42.33,,monto_asegurado_vacio
274,2026-04-02,222,16,12,6,359.96,,49248.02,comision_vacio
276,2025-01-14,482,19,14,11,1238.05,,149205.72,comision_vacio
278,2025-11-04,1832,27,10,9,,150.96,319716.88,prima_vacio
279,2025-12-14,770,66,14,3,901.35,,39362.62,comision_vacio
282,2025-12-31,1190,6,4,6,102.19,24.17,,monto_asegurado_vacio
283,,254,65,13,12,311.5,25.08,,"fecha_emision_vacio,monto_asegurado_vacio"
289,2026-02-11,2696,62,12,7,,52.21,143989.06,prima_vacio
290,2025-04-13,326,61,2,6,,339.8,,"prima_vacio,monto_asegurado_vacio"
291,2025-05-05,281,54,1,9,,,132725.63,"prima_vacio,comision_vacio"
292,,1514,27,3,1,365.44,39.1,9478.09,fecha_emision_vacio
293,2025-10-28,175,24,15,1,,,158807.4,"prima_vacio,comision_vacio"
294,2025-08-19,2129,13,13,7,,212.49,100787.99,prima_vacio
295,2025-05-31,764,52,7,5,987.43,,164812.9,comision_vacio
296,2025-03-05,1812,77,13,11,,47.2,99611.28,prima_vacio
298,2026-02-10,2390,2,14,9,,396.87,,"prima_vacio,monto_asegurado_vacio"
299,2025-05-05,2724,18,5,7,1142.36,88.5,,monto_asegurado_vacio
301,2025-09-15,1579,72,11,1,,18.74,4988.88,prima_vacio
302,2025-04-25,679,60,1,6,,86.07,83621.21,prima_vacio
306,2025-07-06,619,17,10,2,,129.63,196786.22,prima_vacio
311,2026-01-18,236,19,8,12,662.47,34.15,,monto_asegurado_vacio
312,2025-06-13,1894,10,13,2,1944.37,129.58,,monto_asegurado_vacio
313,2026-01-25,2852,30,1,11,1736.83,,122859.35,comision_vacio
314,2025-03-16,444,68,4,1,,28.88,48398.37,prima_vacio
317,2025-01-17,2621,19,2,8,70.91,17.25,,monto_asegurado_vacio
318,,380,58,11,9,779.52,,79294.65,"fecha_emision_vacio,comision_vacio"
319,2026-01-26,2874,9,1,11,726.96,,122532.96,comision_vacio
320,,2637,64,1,9,1224.21,261.15,183732.97,fecha_emision_vacio
322,2025-08-19,454,75,11,3,850.81,,166822.37,comision_vacio
324,2025-12-08,689,68,1,6,,391.8,260739.67,prima_vacio
325,2025-09-17,531,13,2,10,,126.53,,"prima_vacio,monto_asegurado_vacio"
326,2025-02-27,2429,22,3,1,740.5,,,"comision_vacio,monto_asegurado_vacio"
328,2026-01-08,2035,34,9,8,,201.21,,"prima_vacio,monto_asegurado_vacio"
329,2025-07-10,1584,78,10,10,965.87,,80283.34,comision_vacio
330,2025-07-15,2011,15,10,2,1158.76,,143147.74,comision_vacio
331,2025-06-14,2628,51,9,3,1055.42,,169845.49,comision_vacio
332,2026-02-02,2249,63,5,8,1033.15,,124531.25,comision_vacio
334,2025-06-16,1976,64,12,8,1572.9,255.61,,monto_asegurado_vacio
335,2025-09-02,282,43,8,6,,18.72,20333.48,prima_vacio
337,2025-07-24,3574,35,4,10,1304.27,136.32,,monto_asegurado_vacio
342,2025-04-28,1132,50,7,1,1840.74,,343602.22,comision_vacio
343,,1809,74,13,6,261.29,22.99,11502.8,fecha_emision_vacio
345,2025-08-11,1606,47,12,1,323.93,38.26,,monto_asegurado_vacio
346,2025-12-08,1529,61,9,3,1153.35,220.03,,monto_asegurado_vacio
347,2025-08-11,1108,65,2,5,,13.6,9304.45,prima_vacio
348,2025-07-31,1317,20,1,2,1666.25,356.84,,monto_asegurado_vacio
349,2025-09-20,2133,51,7,6,1267.27,,182975.67,comision_vacio
355,2025-12-19,2758,77,12,8,1934.73,,316696.31,comision_vacio
356,2025-10-31,729,63,14,7,1517.29,,224140.06,comision_vacio
359,2025-12-29,3785,8,6,1,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
360,2025-04-12,3666,59,7,9,861.49,,36651.44,comision_vacio
361,2025-05-23,702,21,15,6,1186.26,,65607.3,comision_vacio
363,2026-11-01,2480,2,14,6,,148.66,160600.88,prima_vacio
366,,844,31,2,1,1992.81,300.46,97957.19,fecha_emision_vacio
368,2025-01-13,2229,12,8,1,312.7,32.01,,monto_asegurado_vacio
371,2026-01-25,602,17,11,4,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
372,2026-01-02,2269,59,8,7,,,84920.53,"prima_vacio,comision_vacio"
373,,1870,21,1,5,1038.02,98.58,72125.71,fecha_emision_vacio
375,2025-09-19,1358,80,4,10,,63.4,,"prima_vacio,monto_asegurado_vacio"
376,,3527,73,6,5,110.64,14.62,12500.24,fecha_emision_vacio
377,2025-08-23,2290,36,3,1,1389.23,,,"comision_vacio,monto_asegurado_vacio"
378,,1868,60,12,9,1755.33,276.66,288662.01,fecha_emision_vacio
379,2025-08-22,573,2,15,5,92.25,18.56,,monto_asegurado_vacio
382,2025-12-04,1204,29,13,1,,73.38,163339.83,prima_vacio
383,2025-11-24,234,34,13,4,,73.81,108825.24,prima_vacio
386,2025-06-01,117,43,4,7,,21.8,43701.61,prima_vacio
388,2025-12-01,1001,47,14,4,,,87870.06,"prima_vacio,comision_vacio"
389,2026-12-01,581,53,13,12,216.28,,,"comision_vacio,monto_asegurado_vacio"
390,2025-01-31,2187,14,5,10,1182.03,,89798.89,comision_vacio
391,2025-12-09,2575,43,15,11,,59.01,30926.4,prima_vacio
392,2025-07-04,1062,38,15,3,,79.4,109425.04,prima_vacio
396,2025-10-16,588,51,3,6,1353.44,309.33,,monto_asegurado_vacio
397,2025-07-05,2761,77,9,9,,,26510.38,"prima_vacio,comision_vacio"
400,2025-08-25,1674,35,12,1,1544.57,,42133.22,comision_vacio
401,2025-01-09,1435,1,3,12,1745.43,,260632.03,comision_vacio
402,2025-08-15,1721,63,8,5,405.99,71.04,,monto_asegurado_vacio
403,2025-11-08,1714,75,3,2,,,45428.93,"prima_vacio,comision_vacio"
404,2026-02-09,1407,28,14,8,,42.22,19368.57,prima_vacio
406,2025-09-22,1393,7,15,3,1384.51,194.9,,monto_asegurado_vacio
407,2025-08-30,618,23,1,9,1327.66,,234801.96,comision_vacio
408,2025-10-19,1694,5,3,4,458.92,97.55,,monto_asegurado_vacio
410,,1818,66,11,9,,,98744.66,"fecha_emision_vacio,prima_vacio,comision_vacio"
411,,177,38,10,8,393.15,,37040.34,"fecha_emision_vacio,comision_vacio"
416,,297,21,5,10,464.88,101.67,45376.39,fecha_emision_vacio
417,2025-10-07,60,35,8,1,620.81,90.95,,monto_asegurado_vacio
418,,206,29,11,12,360.12,86.63,69683.94,fecha_emision_vacio
420,,2211,1,15,6,1837.9,390.08,107175.91,fecha_emision_vacio
432,2025-02-01,1557,62,3,5,,207.9,,"prima_vacio,monto_asegurado_vacio"
434,2025-03-20,2333,51,2,6,,17.35,,"prima_vacio,monto_asegurado_vacio"
435,2025-12-31,365,31,6,6,1939.31,,357795.18,comision_vacio
437,2025-11-05,1256,61,7,12,1900.51,,172566.66,comision_vacio
438,2025-08-11,1972,73,12,10,-1778.57,,295736.23,comision_vacio
440,2026-01-06,1109,54,12,3,,23.62,27679.23,prima_vacio
442,2025-03-23,3881,19,15,5,1081.98,,,"comision_vacio,monto_asegurado_vacio"
445,2025-04-26,1383,42,5,9,1857.17,,350577.41,comision_vacio
446,2025-07-11,1091,23,8,12,,11.62,4844.8,prima_vacio
447,2025-08-30,2535,70,10,11,,267.96,320624.01,prima_vacio
448,,459,77,2,3,1973.47,235.49,125583.09,fecha_emision_vacio
451,2025-03-26,1809,51,12,9,516.0,42.02,,monto_asegurado_vacio
454,2025-07-13,1449,53,14,9,605.84,129.93,,monto_asegurado_vacio
457,2025-10-28,2597,48,14,12,436.02,77.71,,monto_asegurado_vacio
458,2025-01-24,2233,10,4,8,,59.29,,"prima_vacio,monto_asegurado_vacio"
459,2025-07-09,135,12,12,11,1350.74,320.2,,monto_asegurado_vacio
464,2025-02-08,1630,14,1,6,,59.17,,"prima_vacio,monto_asegurado_vacio"
465,2025-09-25,1929,79,3,5,1945.13,332.26,,monto_asegurado_vacio
466,2025-11-15,2898,42,7,2,,54.71,14166.74,prima_vacio
467,2025-10-24,781,35,8,7,,251.38,162310.51,prima_vacio
469,2025-12-14,273,38,13,1,1207.61,103.23,,monto_asegurado_vacio
472,2025-11-13,473,15,8,11,0.0,31.72,,monto_asegurado_vacio
473,2025-12-03,2945,67,1,9,1869.53,169.04,,monto_asegurado_vacio
475,2025-02-27,405,56,8,10,725.33,78.35,,monto_asegurado_vacio
479,2026-02-05,2034,65,5,7,931.56,138.27,,monto_asegurado_vacio
480,2025-06-14,1343,1,2,8,1810.4,,184337.17,comision_vacio
482,2025-05-06,170,52,6,2,178.98,,26558.18,comision_vacio
488,2025-03-29,2538,78,15,4,469.17,,68548.42,comision_vacio
490,,983,78,2,9,1479.43,197.15,150480.65,fecha_emision_vacio
493,2025-05-29,604,11,2,2,,99.01,118835.36,prima_vacio
495,2025-04-02,2403,77,15,9,,167.88,196931.25,prima_vacio
497,2025-10-13,703,34,6,12,,28.27,65152.17,prima_vacio
500,2025-06-29,2382,2,2,2,1805.76,205.29,,monto_asegurado_vacio
501,2025-10-05,1703,66,4,11,310.65,73.03,,monto_asegurado_vacio
503,2025-01-08,2629,61,4,8,,,44153.87,"prima_vacio,comision_vacio"
504,2025-06-15,2703,61,12,7,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
505,2025-07-19,1817,56,1,8,658.17,,17945.01,comision_vacio
507,2025-07-21,71,63,6,2,1604.54,,57680.77,comision_vacio
508,2025-05-23,1415,75,5,1,1028.33,253.52,,monto_asegurado_vacio
510,2025-03-29,699,43,14,12,1124.08,121.5,,monto_asegurado_vacio
511,2025-03-31,2545,36,10,11,,380.95,121142.67,prima_vacio
512,2025-04-25,2723,67,6,5,,6.23,15008.2,prima_vacio
518,2025-09-13,1875,60,8,4,,,328641.34,"prima_vacio,comision_vacio"
521,,2939,14,6,11,1998.2,398.18,,"fecha_emision_vacio,monto_asegurado_vacio"
523,2025-03-22,938,47,9,10,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
527,,2629,44,15,1,1498.66,346.97,218178.19,fecha_emision_vacio
529,2025-04-09,1326,23,8,6,,52.59,67713.3,prima_vacio
530,2025-12-15,214,55,15,7,1066.08,161.64,,monto_asegurado_vacio
532,2025-10-28,1369,54,4,3,306.81,,57557.29,comision_vacio
538,2025-07-06,2146,23,12,8,643.98,121.68,,monto_asegurado_vacio
539,2025-12-20,620,2,4,9,56.45,,9836.44,comision_vacio
541,2025-04-28,1607,79,5,8,391.61,,25191.25,comision_vacio
544,,1631,43,3,5,1705.97,,278392.08,"fecha_emision_vacio,comision_vacio"
546,2025-09-18,683,18,12,7,,,,"prima_vacio,comision_vacio,monto_asegurado_vacio"
548,2026-02-02,140,75,14,2,,238.1,211004.23,prima_vacio
551,2025-04-23,1815,21,1,4,,124.2,209012.04,prima_vacio
553,2026-01-07,2446,1,10,12,,207.12,,"prima_vacio,monto_asegurado_vacio"
554,2025-01-30,659,43,4,2,316.37,,,"comision_vacio,monto_asegurado_vacio"
556,2025-09-23,2075,41,5,7,910.0,,56167.62,comision_vacio
558,2025-11-19,278,14,2,10,1329.62,118.69,,monto_asegurado_vacio
562,2026-01-21,1565,32,9,3,1761.04,254.27,,monto_asegurado_vacio
564,2025-03-21,2174,57,6,8,576.14,,76260.33,comision_vacio
567,2026-04-01,1718,78,10,1,1429.03,,122545.12,comision_vacio
568,2025-06-13,1884,55,5,12,,,119021.19,"prima_vacio,comision_vacio"
570,2025-04-16,2214,74,3,4,636.27,,53905.94,comision_vacio
571,2025-07-26,788,69,9,1,,149.93,82686.26,prima_vacio
572,,2819,66,15,11,786.78,186.55,151490.56,fecha_emision_vacio
573,2025-12-17,2280,45,11,5,,194.57,,"prima_vacio,monto_asegurado_vacio"
574,2025-02-16,2920,23,15,12,484.69,73.71,,monto_asegurado_vacio
578,2025-11-17,862,39,8,7,148.55,,25004.08,comision_vacio
579,2025-07-22,1913,28,7,4,,18.29,4641.89,prima_vacio
582,2026-01-20,11,69,11,6,,,162305.06,"prima_vacio,comision_vacio"
583,2025-01-19,3553,54,12,1,1492.56,,,"comision_vacio,monto_asegurado_vacio"
586,2026-01-23,703,79,9,6,96.76,,13409.03,comision_vacio
587,2025-04-24,2692,26,13,2,1024.25,67.72,,monto_asegurado_vacio
588,2025-03-22,24,24,9,11,1805.91,,291663.33,comision_vacio
589,2025-03-22,1709,78,7,3,701.62,41.46,,monto_asegurado_vacio
590,,222,32,14,12,,,232343.62,"fecha_emision_vacio,prima_vacio,comision_vacio"
592,2025-09-25,1683,33,14,2,610.59,,39225.86,comision_vacio
593,2025-06-21,2395,4,14,6,,21.01,,"prima_vacio,monto_asegurado_vacio"
594,2025-12-21,294,61,2,8,,415.66,40996.09,prima_vacio
597,2025-04-21,2380,32,13,6,278.09,,,"comision_vacio,monto_asegurado_vacio"
598,2025-04-22,2730,13,7,4,830.75,128.47,,monto_asegurado_vacio
601,2025-11-12,2680,58,14,8,122.03,,23368.45,comision_vacio
602,2025-04-30,2497,50,2,1,1343.48,274.96,,monto_asegurado_vacio
603,,1202,15,12,11,1018.98,,,"fecha_emision_vacio,comision_vacio,monto_asegurado_vacio"
605,2025-10-03,1360,57,9,12,868.18,,34612.39,comision_vacio
607,2025-12-13,2295,43,15,6,,82.25,13281.29,prima_vacio
609,2025-01-24,611,31,13,2,149.29,,29024.73,comision_vacio
615,,2333,78,15,1,1390.73,128.13,164935.64,fecha_emision_vacio
620,2025-09-10,2727,2,6,9,,,346297.5,"prima_vacio,comision_vacio"
621,2025-02-07,1361,48,3,7,,19.56,,"prima_vacio,monto_asegurado_vacio"
622,2025-09-30,2019,35,5,2,297.08,,,"comision_vacio,monto_asegurado_vacio"
623,2025-07-24,1010,41,7,1,118.23,21.24,,monto_asegurado_vacio
624,2025-09-01,2134,33,10,6,474.87,,24255.64,comision_vacio
626,2025-07-03,2766,34,15,8,126.3,,,"comision_vacio,monto_asegurado_vacio"
627,2025-01-23,2276,77,15,11,539.59,75.27,,monto_asegurado_vacio
628,2025-09-07,2464,32,1,12,77.7,,6080.3,comision_vacio
629,2025-09-01,789,28,5,12,1686.74,,43854.63,comision_vacio
631,2025-08-09,1836,55,13,5,331.16,24.16,,monto_asegurado_vacio
633,,1450,64,12,2,,196.08,165820.35,"fecha_emision_vacio,prima_vacio"
639,2025-10-15,135,21,15,3,1793.33,96.03,,monto_asegurado_vacio
640,2025-05-17,1863,29,13,6,1350.54,142.5,,monto_asegurado_vacio
645,2025-04-08,2176,30,10,7,1437.43,225.46,,monto_asegurado_vacio
647,2025-11-27,2618,7,3,6,655.45,,62624.03,comision_vacio
648,2025-09-24,2333,67,13,7,,62.41,87142.15,prima_vacio
651,2025-09-10,2942,16,1,1,239.96,,26594.71,comision_vacio
652,2025-05-10,2387,112,10,12,,57.46,120076.09,prima_vacio
653,2025-05-20,642,23,8,11,,195.98,353113.4,prima_vacio
656,2025-12-29,2651,76,8,10,229.69,,42318.79,comision_vacio
658,,944,48,7,7,,217.42,165037.61,"fecha_emision_vacio,prima_vacio"
659,2025-06-16,2180,58,12,12,,263.96,,"prima_vacio,monto_asegurado_vacio"
662,2025-01-09,253,51,4,7,332.93,,54153.59,comision_vacio
663,,2679,47,13,4,1753.61,328.92,,"fecha_emision_vacio,monto_asegurado_vacio"
664,,2229,51,8,8,,60.01,,"fecha_emision_vacio,prima_vacio,monto_asegurado_vacio"
665,2025-02-19,1334,38,12,9,407.01,87.27,,monto_asegurado_vacio
666,2025-04-10,1930,34,7,1,355.38,,55585.71,comision_vacio
668,2025-08-03,2830,70,6,9,,1576.2,199080.94,prima_vacio
