id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
399,2025-08-13,2988,14,9,4,308.81,24.4,44128.8
405,2025-07-12,2328,47,1,8,1264.26,275.94,131575.43
409,2025-04-12,686,26,1,9,-1075.26,65.95,105494.6
412,2026-01-28,2826,18,1,5,1596.8,373.29,219135.53
413,2025-07-17,1069,25,15,5,1229.31,110.93,151597.25
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
415,2025-07-22,2645,56,8,11,344.91,46.82,65854.06
419,2025-03-01,111,71,13,6,942.78,142.54,116621.23
421,2025-11-23,1662,44,11,4,293.77,44.98,28807.95
422,2025-08-07,181,4,8,5,1880.35,131.37,131698.52
423,2025-05-26,807,50,9,8,210.77,41.24,35549.86
424,2026-02-14,1234,1,12,6,547.19,68.36,60347.81
425,2025-09-17,1481,30,11,2,538.85,105.16,69395.89
426,2026-01-01,897,74,14,10,1677.27,259.69,287389.71
427,2025-05-29,2943,35,9,5,1849.84,222.39,187959.06
428,2025-01-06,1293,54,9,10,1683.76,278.4,304002.46
429,2026-01-04,1774,50,7,5,987.28,127.17,119643.51
430,2025-06-14,758,10,8,6,170.94,28.14,19950.67
431,2025-03-27,21,56,2,11,1414.67,173.1,38629.85
433,2025-05-04,82,11,2,2,1611.89,244.46,226220.87
436,2025-04-02,1901,69,15,3,687.69,128.26,125649.5
439,2025-01-05,770,70,11,8,359.75,83.83,15237.57
441,2026-01-10,539,50,3,6,0.0,81.86,99567.79
443,2025-10-17,2491,60,1,3,566.75,28.78,105991.94
444,2025-12-26,2825,31,15,3,1525.16,225.41,203346.47
449,2025-04-08,2759,98,3,1,1674.8,320.29,291662.21
450,2025-07-20,1094,38,5,4,1656.24,330.83,201095.5
452,2025-07-04,2214,48,4,1,77.82,13.04,14156.41
453,2025-05-26,1649,48,9,7,285.16,23.71,39481.15
455,2025-02-25,2987,64,7,10,1365.51,166.31,228125.25
456,2025-03-20,747,73,14,7,1486.69,227.71,200312.11
460,2025-07-10,1917,69,15,4,1335.5,242.06,207368.93
461,2025-08-09,1607,49,10,5,1391.27,131.33,260544.91
462,2025-09-29,1340,43,10,3,701.69,123.95,34895.13
463,2025-07-09,1004,39,12,7,1847.53,395.39,238392.21
468,2025-03-23,114,10,7,4,-236.81,48.04,12425.07
470,2025-11-06,3857,93,2,11,1557.9,229.31,120949.16
471,2025-04-19,714,38,14,5,1082.72,109.83,64280.36
474,2025-04-20,729,34,12,2,1115.45,86.74,170089.33
476,2025-02-27,1774,60,13,12,-1097.18,216.55,210170.63
477,2026-02-04,65,22,3,1,1248.84,137.09,133624.56
478,2025-08-11,2138,36,13,2,168.26,215.65,16914.26
481,2025-01-06,1479,14,2,3,173.26,15.36,4328.71
483,2025-10-18,1785,66,9,7,1906.65,335.86,68871.39
484,2025-10-06,2805,11,4,9,1966.19,303.27,243726.68
485,2025-08-26,1799,54,15,2,1189.72,139.99,81181.0
486,2025-08-02,1980,60,13,1,-301.43,24.27,17185.86
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
489,2025-12-07,1736,26,12,10,1609.82,179.76,143503.16
491,2025-02-01,1600,21,1,2,851.47,75.68,58436.85
492,2025-08-01,868,52,3,9,1135.38,98.08,67086.05
494,2025-11-17,1230,49,4,9,263.84,32.56,12942.83
496,2025-02-01,251,60,6,2,559.13,137.72,76692.82
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
499,2025-06-08,2487,14,15,3,1608.01,336.33,182343.65
502,2026-01-26,1560,80,10,11,1517.28,213.23,269343.52
506,2025-06-24,1777,4,14,3,1084.94,220.79,145253.08
509,2025-01-20,1832,54,15,11,1856.75,380.05,145000.82
513,2025-06-13,907,70,6,2,1428.97,129.1,270769.71
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
516,2026-02-16,1576,7,4,4,1971.56,389.57,279818.51
517,2025-07-12,741,3,11,10,1840.16,124.09,192886.75
519,2025-04-14,1468,15,2,1,322.43,56.38,39773.58
520,2025-04-16,1496,9,5,11,1064.04,124.78,171718.88
522,2026-12-01,1045,18,8,12,1763.56,402.61,179266.06
524,2025-02-12,1574,43,10,10,181.08,34.65,22655.97
525,2025-10-27,25,4,5,2,1938.64,162.8,343418.5
526,2026-02-08,284,65,10,8,1536.08,260.86,126568.35
528,2025-05-19,2872,55,1,11,533.97,70.87,31974.56
531,2025-06-04,177,73,4,7,1871.73,183.05,121960.34
533,2025-10-13,2867,50,10,8,1129.22,175.16,138659.54
534,2025-03-24,2027,7,5,12,449.49,73.78,76206.56
535,2025-10-03,1978,37,7,10,1837.59,373.45,73333.3
536,2025-09-26,1487,45,4,7,0.0,12.18,3007.05
537,2025-11-14,2996,38,3,10,1065.63,1899.0,21670.75
540,2025-11-29,2723,9,12,2,233.08,55.01,25744.38
542,2025-12-08,2720,77,5,1,1673.58,247.88,99356.05
543,2025-12-19,1352,54,8,2,1184.99,140.37,197173.43
545,2025-03-01,2921,10,6,2,589.25,84.48,64462.37
547,2025-08-04,2749,33,12,6,943.14,204.41,186378.98
549,2025-03-01,2373,37,2,3,1292.38,72.55,114912.08
550,2025-01-01,2740,18,1,4,1856.51,357.18,221118.7
552,2025-07-27,2701,42,8,5,1686.04,369.75,212460.57
555,2025-06-06,58,12,13,5,802.91,173.75,103985.96
557,2025-02-23,863,14,10,9,670.02,110.59,73438.18
559,2025-11-15,2560,76,1,12,1382.32,279.32,62361.96
560,2026-01-08,2145,74,6,2,0.0,369.91,304333.91
561,2025-09-12,2867,25,1,9,244.84,21.87,15421.81
563,2025-01-29,1398,57,14,8,841.68,118.23,27662.38
565,2025-01-11,2636,22,5,10,970.69,228.85,85460.43
566,2025-02-18,2845,40,6,4,932.58,189.41,78318.01
569,2025-02-04,2388,29,5,7,681.04,42.3,106713.79
575,2025-05-21,1400,48,5,2,1694.46,292.44,130970.86
576,2025-04-26,3728,26,15,3,1034.92,140.98,56238.72
577,2025-08-07,2064,75,12,7,1325.78,90.78,61776.9
580,2025-12-25,1660,40,10,1,1055.36,223.72,169828.64
581,2025-04-28,390,8,12,12,240.95,31.9,38154.1
584,2026-04-01,1556,18,15,5,591.04,143.55,56121.83
585,2025-06-28,230,23,15,11,583.92,133.94,93049.78
591,2025-01-25,2782,30,8,11,816.32,82.76,103919.46
595,2026-01-22,853,62,5,5,1217.81,159.5,231643.51
596,2025-01-04,2287,14,9,1,426.27,65.37,24692.57
599,2025-04-28,2512,29,1,4,1914.82,387.89,161651.62
600,2025-11-04,2290,60,15,4,616.05,137.39,22632.8
604,2025-12-05,1860,9,11,12,877.47,205.89,110451.4
606,2025-09-09,2303,80,11,9,1042.34,242.2,51730.17
608,2025-09-10,505,113,13,10,1677.49,169.52,247928.91
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
611,2025-07-28,2585,42,5,8,1478.89,182.27,269513.62
612,2025-04-07,2405,19,6,11,1442.2,88.02,140512.93
613,2025-12-25,83,33,1,3,732.88,176.49,22423.95
614,2026-02-02,3,57,2,3,1768.63,292.06,260328.94
616,2025-03-15,1425,40,4,2,822.72,203.05,50831.11
617,2025-07-16,1915,66,3,11,137.37,12.48,18086.66
618,2025-12-05,121,80,14,8,491.55,109.63,23521.26
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
625,2025-12-19,654,15,4,5,862.91,58.54,60318.88
630,2026-02-19,2423,76,1,11,409.54,29.13,25581.69
632,2025-10-14,1080,75,15,12,1462.54,248.29,252291.54
634,2025-05-01,2054,73,11,7,616.87,43.23,42391.68
635,2025-04-26,95,61,3,5,1792.02,440.47,214083.88
636,2025-05-09,1314,70,7,2,1032.77,54.39,80684.29
637,2025-12-12,2618,61,9,9,738.1,1128.07,82512.43
638,2025-08-12,2820,21,3,4,857.92,83.38,141656.39
641,2025-12-06,1749,60,14,10,1292.44,294.27,124029.24
642,2025-06-01,7,71,4,9,538.13,623.94,92726.9
643,2026-01-18,1158,19,3,6,462.9,44.07,60581.46
644,2025-05-07,1827,44,1,3,1990.49,361.62,226537.35
646,2025-05-07,1510,65,13,10,656.59,131.69,19747.59
649,2025-12-31,2295,43,12,8,387.19,93.15,30895.41
650,2025-09-16,2390,49,15,6,619.52,149.92,117620.78
654,2025-02-28,1871,16,10,8,352.81,41.06,18489.87
655,2025-12-15,1983,64,8,4,538.85,104.77,90386.98
657,2025-04-09,1083,51,7,12,1959.73,334.82,214701.16
660,2026-02-20,1890,50,5,12,859.64,159.62,162584.35
661,2026-01-30,2348,51,3,8,700.8,132.88,46266.8
667,2025-12-25,2562,48,2,12,1201.35,251.44,186833.82
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21,243.95,179745.23
675,2025-01-05,1309,1,5,8,304.6,40.62,40321.87
676,2025-07-29,1547,3,10,9,1514.6,359.2,188579.89
678,2025-05-15,1082,77,15,7,175.81,24.09,30233.32
679,2025-04-24,2080,36,9,8,916.53,116.12,152755.89
680,2025-09-10,2428,69,14,4,297.32,26.01,37770.58
681,2025-07-14,1320,71,6,5,113.21,22.17,3632.72
685,2025-06-21,46,8,11,11,620.06,154.51,86260.73
686,2025-11-10,3818,24,12,3,839.28,66.76,94857.83
690,2025-04-04,1981,67,15,6,487.57,79.88,81209.64
692,2025-05-08,1815,21,4,9,819.6,96.05,77433.69
695,2025-02-28,68,37,2,6,165.57,23.74,31623.31
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
700,2026-01-30,167,5,5,6,0.0,107.12,68413.82
702,2025-10-01,2298,14,4,1,498.15,87.35,36330.25
704,2025-09-08,1148,47,1,9,166.86,27.17,18523.15
705,2025-01-19,1138,23,7,2,566.86,131.31,37098.32
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
707,2025-10-13,183,33,10,9,995.96,135.17,23669.23
708,2025-01-09,2745,54,1,12,1613.21,171.43,228522.87
709,2025-04-08,1157,20,6,6,715.9,48.15,39762.71
711,2025-08-13,641,61,2,3,813.02,74.07,21034.0
713,2026-01-26,1577,69,8,11,1427.45,286.22,178492.02
718,2025-06-09,3715,34,13,2,1727.5,286.7,60812.77
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
723,2025-10-24,74,25,10,1,1225.41,295.09,30279.76
726,2026-01-30,1507,38,4,11,216.37,34.06,34994.41
727,2025-04-21,3672,53,10,9,522.25,114.09,44237.52
729,2025-04-18,969,15,13,6,1362.99,226.44,92186.61
731,2025-02-18,1200,7,15,9,1909.2,168.12,40865.07
732,2026-01-26,452,78,11,11,1166.68,1970.59,38790.36
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
735,2025-02-13,2042,44,4,3,300.58,44.85,42925.38
736,2025-09-27,1903,67,10,12,1824.72,428.64,231848.32
737,2025-04-02,1058,21,12,5,276.22,29.98,45596.72
738,2026-01-01,1081,12,10,1,1380.67,180.12,107432.37
740,2025-12-07,2140,12,8,3,107.75,10.65,8320.69
741,2025-03-08,1634,8,12,8,1128.26,272.87,195554.62
742,2025-08-31,1299,38,11,7,1888.13,148.97,346893.42
743,2025-05-08,2094,34,7,1,487.42,103.01,92343.41
744,2025-02-03,2029,37,7,5,683.27,138.19,42398.07
750,2025-10-20,628,65,2,9,570.46,111.8,51514.15
752,2026-01-12,2688,7,7,9,1608.17,109.04,67692.48
753,2025-04-05,334,24,6,7,997.79,77.23,20370.53
754,2025-12-19,1887,15,5,2,419.49,87.35,45902.66
755,2025-12-13,1268,20,1,10,542.63,30.9,68862.65
758,2025-05-03,1314,14,2,11,1781.89,115.34,245915.97
763,2026-02-11,856,58,1,11,537.9,55.57,27125.8
765,2026-02-17,559,69,5,8,988.43,242.22,155655.94
769,2025-03-15,396,51,3,5,925.09,174.43,39645.83
772,2025-06-14,1784,42,12,8,1997.85,397.22,298618.14
773,2025-02-13,1516,42,7,8,1605.25,170.35,195063.2
774,2025-02-06,918,33,14,11,202.95,45.59,16812.51
778,2025-07-06,985,14,6,1,906.43,197.27,156863.2
779,2025-11-17,164,30,13,3,1416.15,105.26,145214.83
780,2025-10-31,1718,37,6,11,1034.9,238.56,54231.24
781,2025-11-20,521,35,12,11,1377.36,280.27,258994.33
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
784,2025-09-29,186,42,4,5,1720.11,206.62,208688.06
785,2025-08-10,1742,52,13,1,1399.54,92.82,58344.65
787,2025-01-24,2710,39,14,5,1580.94,230.02,168587.19
788,2026-01-19,75,11,6,6,1927.29,195.06,136435.5
789,2025-11-19,887,63,5,5,1870.9,299.18,157620.69
791,2025-01-09,1594,74,6,11,1039.64,167.65,32056.7
792,2025-07-29,1736,79,9,1,1586.52,138.79,164431.84
801,2025-07-25,649,46,1,6,737.38,60.16,73614.54
803,2025-09-17,1998,62,5,8,1587.48,2167.83,207934.12
806,2025-04-18,259,11,1,2,1452.59,221.13,125631.8
809,2026-01-07,2775,34,1,1,861.06,79.0,76314.23
810,2025-06-24,2223,6,14,5,1665.91,111.1,282220.24
811,2025-12-29,461,74,6,10,1935.66,442.98,359607.34
812,2025-11-07,1791,54,1,6,550.5,82.84,99294.36
813,2025-07-18,2420,34,11,12,1399.88,186.19,55621.79
814,2026-02-11,475,39,9,9,1663.31,115.48,49887.65
818,2025-01-23,1758,69,2,5,478.93,58.42,50303.65
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
820,2025-08-31,2268,33,3,9,603.7,74.58,61685.84
821,2025-11-06,2975,21,13,3,1128.81,108.94,141682.63
822,2026-01-17,1490,80,8,9,482.99,64.99,81710.06
823,2025-10-31,2393,35,13,5,1391.74,244.4,221544.83
824,2025-01-02,2180,28,7,2,1498.83,332.65,175586.54
826,2026-02-17,1423,70,14,7,1851.2,368.84,165565.53
830,2025-05-06,1927,48,10,1,605.02,86.82,78597.06
832,2025-09-09,1346,39,8,4,1810.66,274.48,36290.67
833,2025-06-26,1290,29,3,1,772.38,60.25,90000.78
837,2025-10-18,618,48,3,4,1225.32,153.28,35806.45
838,2025-11-09,1217,79,2,3,1308.1,205.42,217848.71
840,2025-06-13,446,38,7,12,503.79,90.99,98834.35
842,2025-11-09,67,34,1,1,1567.51,155.23,266958.76
849,2026-02-13,1113,69,4,4,547.21,125.87,42297.95
854,2025-11-08,553,5,9,5,1658.58,388.63,164689.7
856,2025-07-25,1862,23,10,3,1166.48,71.12,120591.06
859,2025-09-09,3704,11,12,5,1673.24,277.63,157075.98
860,2025-07-19,2608,5,10,7,197.16,33.71,5230.01
861,2025-09-06,2951,32,1,1,237.37,53.89,41889.12
862,2026-01-01,535,44,11,11,1122.35,169.8,202836.98
863,2026-02-01,1638,73,15,2,139.41,19.45,18526.99
864,2025-11-24,602,46,1,1,843.93,71.93,165557.31
867,2026-01-26,936,7,13,2,828.76,197.48,125255.62
868,2025-11-26,1177,30,4,12,1951.77,329.12,147621.84
870,2025-08-19,2572,10,1,1,1213.05,167.96,87926.15
871,2025-09-15,519,55,6,9,729.87,124.73,141981.55
874,2025-06-15,1843,70,12,11,1836.94,406.66,241535.48
875,2025-04-04,1612,40,11,3,234.59,42.7,8016.21
876,2025-01-30,1516,4,8,1,1262.35,302.21,189195.92
878,2025-09-11,2718,43,3,12,1942.52,171.26,244767.44
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
880,2026-02-16,1442,14,6,10,1460.82,164.68,155871.24
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
886,2025-11-30,1228,33,11,10,571.93,118.16,23281.86
889,2025-05-21,1138,92,7,7,1904.97,124.65,178062.83
890,2025-01-01,333,1,3,7,1325.39,156.97,116804.26
891,2026-07-01,571,76,11,8,985.4,108.56,155311.42
892,2025-10-11,1217,55,13,12,412.35,46.23,44262.23
893,2025-06-14,835,38,3,9,1213.0,291.35,179137.64
896,2025-02-05,610,20,10,9,477.03,72.81,74022.02
898,2025-03-02,1329,33,8,6,1201.3,145.34,49035.77
899,2025-07-15,1828,67,2,5,84.64,6.93,9839.21
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
901,2025-12-01,2504,9,6,2,1049.68,68.14,66587.08
903,2025-08-11,2191,77,1,1,1266.08,276.99,122393.69
905,2025-10-11,630,36,11,1,547.14,98.22,58661.58
906,2025-04-12,343,47,2,12,1583.43,353.06,57993.95
907,2025-05-16,2644,13,10,5,1200.1,262.3,210608.08
913,2025-10-11,1199,6,8,11,1105.06,170.04,59333.71
914,2025-11-19,2621,47,14,9,1905.9,371.25,168663.17
915,2025-08-24,1529,3,2,2,771.68,169.79,103763.11
917,2025-04-10,2390,71,12,2,1606.28,306.62,221424.14
918,2026-10-02,1594,35,13,5,697.74,57.01,55110.68
920,2025-05-15,1393,10,1,7,1333.15,207.78,151133.77
921,2025-06-09,3692,48,12,8,1600.24,113.88,48490.37
924,2025-10-13,2713,65,5,5,1575.0,164.43,258928.89
926,2025-09-20,2933,34,3,2,1132.88,182.65,218574.95
927,2025-03-23,1583,46,10,12,909.49,115.99,53747.79
928,2025-03-13,2024,41,9,9,1125.24,252.7,130472.96
929,2025-03-27,1624,12,9,10,250.7,433.51,15178.48
932,2025-01-04,1778,27,12,11,1780.47,213.95,112838.98
