id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
275,19524,09-13-25,10334.68,Abierto
276,24025,07-21-25,12873.15,Cerrado
279,8178,30/05/2025,10418.51,Rechazado
281,22881,14-11-2025,197.86,Cerrado
282,11387,07-02-25,5370.01,Cerrado
284,4685,2025-01-05,"11,406.08",Abierto
285,17418,2025/04/10, 5091.35 ,Abierto
286,14149,2025/05/29,"7.311,29",Abierto
287,17519,2025/11/22,"2.869,86",Rechazado
288,19817,01-22-25,"2.321,09",Abierto
289,2525,01-20-25,6583.18,Cerrado
290,23857,07-23-25,"3,302.24",Cerrado
292,15112,01-10-2025,2486.04,Cerrado
294,21932,01-02-26, 9926.07 ,Abierto
295,11353,06/11/2025,566.00,Abierto
296,2362,11-01-2026,-,Rechazado
297,7821,2025/12/09,"3.566,43",Cerrado
299,11447,08-02-2026,"14,867.64",Cerrado
300,13999,02-23-25,331.95,Abierto
301,19710,2025/08/08,"1.424,02",Cerrado
303,1719,2025/11/14,-,Abierto
304,2036,21/02/2025, 8381.86 ,Cerrado
309,22223,2025/04/03,"11.939,28",Cerrado
311,16425,02-05-2025,10081.65,Cerrado
312,15669,05-02-2026,"2,986.38",Abierto
313,12886,03-26-25,-,Abierto
315,6480,28-10-2025,13359.79,Rechazado
318,18504,12-17-25,14001.50,Cerrado
319,4709,2025/07/17,-,Cerrado
320,17508,2025/10/31,"8.640,45",Abierto
321,15003,2025/10/22,4359.69,Abierto
322,19178,2025-12-08,"10,770.63",Abierto
324,4083,18-03-2025, 10678.85 ,Cerrado
327,8526,17/05/2025, 13905.74 ,Rechazado
328,19746,2025/03/11,6693.43,Abierto
329,23344,2025/01/08,10541.76,Abierto
332,20787,17-05-2025,11131.22,Abierto
333,21160,2025/11/26,"6.116,37",Abierto
334,12046,2025/04/03,2537.12,Abierto
335,12406,05/04/2025, 319.52 ,Cerrado
339,8768,25/01/2025,2863.49,Abierto
340,4853,11-16-25,"8.016,06",Abierto
343,25543,2025-07-21,"4.564,30",Cerrado
344,9611,2025-02-22, 2147.03 ,Cerrado
345,5702,08-30-25,10398.23,Abierto
346,16953,02-03-26,"14,629.39",Cerrado
349,18539,11-27-25,"-4.684,76",Cerrado
350,7943,11-05-2025,10787.07,Cerrado
351,4779,2025/05/29,-,Cerrado
352,5401,09-11-2025,"14.262,99",Rechazado
354,23874,2025/04/20,12544.63,Rechazado
355,23407,09-08-2025,-,Cerrado
356,21703,01-08-2025,"3.463,49",Abierto
359,12112,2025-10-26,2073.55,Abierto
360,24056,2025-09-20,7083.76,Rechazado
361,16268,07-17-25, 13927.17 ,Abierto
363,21311,04/02/2026,9959.61,Abierto
365,18228,17/11/2025, 13973.16 ,Cerrado
366,5844,02-02-2025,11212.65,Cerrado
367,942,05-07-2025,"1,374.60",Abierto
368,14823,11-10-25, 1629.44 ,Abierto
369,15818,2025-02-14,434.28,Abierto
370,20114,14/02/2026,"5,559.03",Abierto
371,20612,12-02-2025,5087.67,Cerrado
372,941,2025-01-31, 10846.29 ,Abierto
373,16241,2026/02/16,"2,754.60",Cerrado
375,3784,02-21-25,"6.278,59",Cerrado
377,19938,2026-01-27,"-3,081.44",Abierto
378,4586,09/01/2025, 2051.08 ,Abierto
379,19394,2025/04/11,"4,337.43",Cerrado
383,3726,2026/02/08,-,Cerrado
384,16998,17-09-2025, 8268.60 ,Cerrado
389,21668,01-31-26, 11042.25 ,Abierto
390,840,02-23-26, 10747.46 ,Abierto
392,20920,2025/08/04,"1,035.65",Cerrado
395,990,11-06-2025, 924.16 ,Abierto
396,986,2025/10/23,"8,896.66",Abierto
397,22624,14/06/2025,"6,819.88",Cerrado
398,10478,24/08/2025,"7,566.63",Abierto
399,1386,2025-04-06,1160.69,Abierto
403,9469,01-30-26,"3.664,72",Cerrado
405,17081,2025/08/02,"13.445,95",Abierto
406,13593,31/05/2025,1225.41,Cerrado
409,4598,2025/08/10,14385.55,Abierto
411,15930,21/09/2025,-,Abierto
412,1661,01-05-2025,"12,937.82",Abierto
413,15474,2025-01-14,"11,665.10",Cerrado
416,1066,2025/11/06,2268.69,Rechazado
417,24940,2025-06-20,"11,978.74",Abierto
418,19027,2025/02/20,-,Abierto
419,11189,19-07-2025,"6.286,41",Cerrado
420,15208,06-17-25, 14567.87 ,Rechazado
422,9973,28/12/2025,"5,901.69",Abierto
423,11261,24/03/2025,-,Abierto
424,11599,2025/06/21,"2.656,34",Cerrado
425,6477,23/10/2025, 11168.31 ,Abierto
426,24821,2025-06-18,"9.786,35",Cerrado
430,9420,2025-03-07,"14,797.54",Rechazado
432,3991,2026/02/07, 12934.03 ,Cerrado
433,13660,14/07/2025,4257.18,Rechazado
434,9923,03-19-25,"10,300.58",Cerrado
437,23431,14/08/2025, 9923.03 ,Rechazado
438,20439,2025-09-22,-,Cerrado
440,16397,2025/10/16,"8.359,38",Rechazado
441,22684,03/12/2025,10554.36,Rechazado
442,25876,03-10-25,"147,22",Rechazado
445,7801,27-01-2025,-,Rechazado
448,13756,2025/11/18,"8,492.99",Cerrado
449,10005,05-02-25,9876.19,Abierto
450,18661,05-11-25,"2,919.02",Rechazado
451,3111,30/03/2025,12498.73,Cerrado
455,11674,22-05-2025,-,Cerrado
462,1370,2025/02/25, 2238.16 ,Rechazado
463,1315,2025-05-23,"9.403,53",Cerrado
464,7665,2025/08/23,"6,095.66",Abierto
465,4729,2025-10-15, 13763.87 ,Cerrado
466,19556,05-22-25,"929,56",Cerrado
467,12477,2025-04-29,12448.85,Cerrado
468,7145,29/06/2025,"9,748.24",Rechazado
470,7885,12-18-25,9856.68,Cerrado
471,2155,12-01-2025, 5220.04 ,Abierto
472,4686,19/11/2025, 7740.48 ,Abierto
473,6110,02-02-2025,"14.439,69",Rechazado
477,23464,01-02-26,"4.561,33",Rechazado
478,15010,27/01/2026,11687.78,Abierto
482,18388,03-11-2025,"2.624,10",Cerrado
484,10177,09-21-25, 9795.30 ,Rechazado
486,16519,2025-10-01,"4,527.06",Cerrado
487,21900,02-11-2025,"14.449,32",Abierto
488,7922,05-08-2025,-,Abierto
489,6169,06/07/2025,"10,359.49",Cerrado
491,10798,13/04/2025, 11866.01 ,Cerrado
492,5514,05-07-2025, 13335.48 ,Cerrado
494,4271,12-09-2025,"11.207,50",Cerrado
496,9321,2025/08/23,"597,85",Abierto
499,4303,03-02-2026, 6686.39 ,Abierto
500,24173,03/07/2025,"6.633,52",Rechazado
501,1935,2025-03-01, 9456.55 ,Abierto
502,8758,02-01-2026,7272.53,Abierto
503,13990,2025/07/15,"4.634,32",Cerrado
504,12911,02-07-26,"12,735.57",Abierto
505,9535,03-04-25,"13.921,33",Rechazado
512,25808,2025/04/28,"1,956.20",Abierto
514,749,2026-01-26,-,Abierto
515,7931,2025/04/19, 7142.51 ,Abierto
517,19123,24/02/2026,-,Rechazado
518,5192,14/03/2025,-,Cerrado
519,2775,20/09/2025,11906.59,Abierto
520,17065,01-19-26,"8.464,37",Abierto
521,2027,21/08/2025,"2,008.92",Abierto
522,8459,2025-09-24, 5956.22 ,Abierto
523,2414,10-08-2025,13565.60,Abierto
525,9683,01/06/2025,"4,540.67",Cerrado
526,6685,27/01/2026,"965,71",Cerrado
527,17205,2025-06-03,12224.81,Cerrado
529,1551,24/02/2026,"12.584,02",Cerrado
530,19258,10-10-2025,14448.22,Abierto
532,13554,17/02/2025,"10.457,23",Rechazado
533,1400,2026-02-17, 778.90 ,Abierto
534,13893,01-07-25,"2,203.47",Abierto
535,17558,11/05/2025,"775,73",Cerrado
536,1687,2025-11-28,"8,216.35",Abierto
537,10763,2025/01/29,"6,960.69",Cerrado
538,16568,21-02-2026,"800,55",Cerrado
539,15629,2025/02/04,"629,03",Abierto
540,24874,2025-10-25,6239.30,Rechazado
544,13123,06/03/2025,"8.419,73",Abierto
545,14630,07/01/2025,965.14,Cerrado
546,2269,13/03/2025,6320.76,Cerrado
547,18971,06/12/2025,13821.43,Abierto
549,10771,2026/01/19,"-9,024.61",Abierto
550,25667,2025/11/08,"3.598,00",Abierto
551,21438,05-07-25,"5,836.89",Abierto
552,2165,02/11/2025, 11024.33 ,Cerrado
553,21888,2026/01/05,3112.17,Cerrado
555,17858,16-01-2025,"13,960.18",Cerrado
557,6868,2025/06/30,"5.325,91",Cerrado
558,21780,05/10/2025,"10.753,61",Cerrado
560,3151,2025-02-28,"-1,744.20",Abierto
561,8177,11/05/2025,3376.64,Cerrado
562,15715,28/01/2026,"4.479,51",Cerrado
563,18040,03-08-2025,"7.778,11",Rechazado
564,21307,2025/12/06, 11816.47 ,Rechazado
565,19612,2025/01/24,-,Rechazado
566,7229,10/09/2025,8102.59,Rechazado
570,25508,2025-05-21,"9,919.76",Cerrado
571,354,2025/02/12,"11.624,30",Rechazado
572,8028,06-02-2026,"1,046.73",Cerrado
573,5994,2026/01/25,"8.064,22",Cerrado
574,21648,23-06-2025,-,Cerrado
575,17032,2025/09/23,"6.006,23",Cerrado
576,20005,2025/05/29,"3.660,61",Abierto
577,9416,2025-07-16,7281.78,Abierto
578,5441,05-05-2025,"6.542,30",Cerrado
579,6238,25-06-2025,"-676,22",Rechazado
580,21031,2025/08/22,"14.726,12",Abierto
582,11973,27-11-2025,681.75,Abierto
583,15892,31/01/2025,"9.323,33",Rechazado
585,2185,2025/08/02,"14.347,09",Cerrado
586,5064,01/01/2025,"3,427.67",Cerrado
588,9780,20/01/2025, 12340.44 ,Abierto
589,23761,04/02/2025,"1,722.65",Cerrado
590,1390,2025/11/22,"5,100.16",Cerrado
591,24753,29/12/2025,"9.243,95",Abierto
594,24598,18/09/2025,"2,947.86",Rechazado
596,20730,01-21-25,-13047.91,Abierto
598,15220,04-17-25,263.87,Rechazado
599,20491,16/01/2025,567.78,Cerrado
603,17985,2025/07/24,14180.71,Abierto
605,24391,23/07/2025,-,Cerrado
608,24323,04-09-25,5670.57,Abierto
609,13678,2025-03-23,5395.55,Abierto
610,22850,06-10-25,11563.14,Abierto
611,17162,15/02/2026,-,Abierto
613,22432,2025/08/03,"11,453.70",Abierto
614,9264,09-09-2025, 1692.12 ,Abierto
615,11298,2025/11/14,"9,282.91",Rechazado
616,6056,12-08-25, 5153.30 ,Abierto
619,3397,12/03/2025,"10,501.36",Abierto
620,17258,14-10-2025,"2.924,44",Cerrado
624,11022,2025/06/30,"13.436,62",Cerrado
625,24203,21-06-2025,-,Rechazado
626,22538,2025-08-05,"4,677.56",Abierto
627,471,09/01/2025, 6150.14 ,Rechazado
631,3214,2025-07-24,"14,084.12",Rechazado
633,5243,10-06-25,1215.30,Rechazado
635,13335,20/02/2026, 2689.49 ,Cerrado
637,22494,01/05/2025,"8,852.96",Abierto
638,19539,2025-12-12,"10,177.49",Abierto
640,13475,2025/07/25,"12.933,19",Abierto
641,21496,15/03/2025,8941.22,Abierto
642,6639,27-01-2026,"6,072.88",Abierto
643,4604,2026-02-12,"13,596.15",Cerrado
645,11915,2025/04/27,8814.08,Cerrado
646,4770,15/02/2025, 5803.73 ,Abierto
648,4252,2025-07-13,"7.226,64",Abierto
649,12061,02-03-26, 8161.32 ,Abierto
650,24671,2025-09-05,6124.17,Rechazado
652,8973,19/01/2026,-,Abierto
655,14468,25-06-2025,4379.27,Abierto
657,23993,18/01/2026,12774.15,Cerrado
658,9973,2026/02/20,7195.36,Rechazado
659,8391,2025/01/24,"8.128,14",Cerrado
660,24254,2025-06-08,4004.38,Cerrado
665,21165,12/11/2025,9060.55,Cerrado
667,22850,2025/09/06,"14.333,09",Rechazado
669,17465,2025/10/24,"1,905.81",Abierto
670,25645,26-07-2025,"5,730.79",Abierto
673,12793,04-27-25,"7,026.08",Cerrado
674,9099,2025-10-27,"5,490.56",Abierto
677,19888,2026/01/30, 8543.66 ,Abierto
678,24681,2025/05/01, 1097.13 ,Rechazado
680,7570,28-12-2025,12621.97,Cerrado
682,23566,26/07/2025,"13.620,41",Rechazado
683,23539,2025-10-22, 10505.35 ,Cerrado
684,13740,2025-07-24,13370.29,Cerrado
685,8447,16/07/2025,"5,431.73",Cerrado
687,15875,2025-06-18,-,Rechazado
689,10280,23/01/2025,"10,161.02",Cerrado
690,679,23/06/2025, 14161.93 ,Abierto
691,12163,11-04-25,-,Abierto
692,7865,17-05-2025,"7,245.23",Abierto
693,239,02-11-26,"2.587,50",Cerrado
694,16051,02-23-25,2151.57,Rechazado
697,8619,2025-10-10,"11,461.41",Abierto
698,18567,2025-01-20,-,Cerrado
699,24920,2025-01-22,"2,235.03",Rechazado
702,2873,06-14-25,"5.179,61",Cerrado
704,13263,17-11-2025,-,Cerrado
705,13150,12-11-2025, 11601.83 ,Rechazado
706,2757,08-25-25,"13,278.87",Cerrado
707,24991,2025-11-27,"7,549.29",Abierto
709,16266,2025/01/16,-,Cerrado
712,24680,01-07-26,13399.70,Cerrado
713,20970,21-07-2025,2303.55,Cerrado
714,5994,26-04-2025,"10.205,69",Cerrado
715,23754,2025-12-18,"10.141,18",Abierto
718,7795,2026/02/22,"12.169,40",Abierto
719,15868,25-12-2025,"1,394.24",Cerrado
720,24674,02-06-26,"1,668.36",Abierto
721,21605,25/10/2025, 10947.61 ,Cerrado
722,17682,2025/02/16,10999.55,Abierto
723,24857,2025/01/15, 508.97 ,Cerrado
724,23742,02-24-25,8822.98,Cerrado
726,20483,2026/01/31,-,Rechazado
727,25607,01-14-26,"9.084,17",Abierto
729,4497,2025-11-14, 336.98 ,Abierto
730,16114,2025-01-18,-,Abierto
731,22473,12-11-2025,"3.126,48",Cerrado
732,20771,06-18-25,"3,214.48",Abierto
733,16099,10-08-2025, 12090.96 ,Abierto
736,1668,27-08-2025,1066.12,Cerrado
737,8626,23/11/2025,8378.93,Cerrado
739,25838,09-10-25, 6691.62 ,Cerrado
744,8360,2026-02-03,"2.020,77",Abierto
745,22996,20/11/2025, 1381.36 ,Cerrado
747,2468,01-07-2025,10010.05,Rechazado
748,20797,14/01/2025,"5,210.91",Abierto
749,14183,2026/01/06,8218.95,Cerrado
750,7697,2025-10-08,"5.380,56",Abierto
753,1456,10-10-25,"3,016.99",Cerrado
755,11416,2025/10/01,"4,159.67",Abierto
757,19194,03-24-25, 2954.35 ,Cerrado
761,97,08-03-2025, 12403.25 ,Rechazado
764,9791,15-10-2025,5691.21,Cerrado
767,6334,2026-02-04,"12,486.42",Abierto
768,17775,2025/03/18,"6,684.29",Cerrado
769,14602,11-17-25,"3,895.18",Abierto
770,13566,2025-09-24,"9,355.26",Abierto
772,12625,2025/10/22,"11.637,18",Cerrado
774,12939,27/09/2025,"11,202.95",Cerrado
775,13123,2025-04-07,"3,021.45",Rechazado
776,21701,2025-03-01,"14.772,14",Rechazado
779,6799,07-08-25,-,Abierto
780,11745,2026-02-04,"9,907.16",Abierto
781,3134,21/11/2025, 11122.43 ,Cerrado
782,6674,2025/03/09, 4364.59 ,Abierto
787,15672,24-05-2025, 3901.09 ,Cerrado
789,24449,02/04/2025,"12.583,00",Cerrado
794,6939,16-11-2025,"3,297.63",Rechazado
795,18424,15-03-2025,"7.565,56",Cerrado
796,16905,2025-01-06,"13,179.02",Abierto
797,17041,01-30-25,"11.728,06",Cerrado
798,9464,11-07-2025,"-9,622.54",Cerrado
799,11920,2025/05/21,8440.96,Abierto
800,1975,12-14-25,"8.292,32",Abierto
801,10815,11-10-2025, 14958.46 ,Abierto
802,6531,01-25-25, 14323.70 ,Cerrado
803,13409,24/12/2025,13826.32,Abierto
804,5193,2025/08/23,767.61,Abierto
805,14256,04-07-2025, 3088.12 ,Cerrado
807,22910,30-07-2025,13637.84,Rechazado
809,3561,09-27-25,"4.364,29",Abierto
810,11163,2026-02-08,6044.37,Abierto
811,22989,2025-07-12,"14.492,11",Cerrado
812,7450,08/09/2025,"7,610.44",Abierto
813,1969,2025/05/23,"5.858,60",Abierto
815,9848,18/01/2025, 1187.79 ,Abierto
817,5151,03/02/2026,-,Cerrado
818,14589,2025/02/18,"11,864.54",Abierto
819,5330,28/04/2025,"9,561.37",Rechazado
820,24370,2025/10/30,4963.22,Cerrado
822,3042,18-10-2025,11626.56,Abierto
823,5148,12-04-25,"14.340,42",Abierto
824,18973,2025-04-08,9516.18,Cerrado
826,12367,2026/01/17,"9.969,24",Cerrado
827,24558,2025-08-12,"3,709.87",Cerrado
831,9957,03-12-2025,8993.77,Rechazado
832,3475,22-12-2025, 9461.23 ,Rechazado
833,6103,05/04/2025,"13.411,06",Abierto
836,23099,2025-03-16,688.22,Abierto
837,1687,2025-07-06,1640.78,Cerrado
838,1618,12-09-25,-,Abierto
841,4360,02-01-25,"12.737,06",Abierto
842,19198,08-27-25,"10.786,07",Abierto
844,5928,11/12/2025,5490.32,Cerrado
845,13175,10-09-25, 4442.61 ,Rechazado
846,16436,2025-02-09,"5,636.39",Rechazado
849,12309,04-11-25,"6,366.94",Abierto
850,9751,2025/04/23, 9186.57 ,Rechazado
851,17927,17/02/2025,"501,54",Abierto
852,12066,2025-09-11,"2.254,60",Cerrado
853,19756,29/12/2025, 9050.18 ,Cerrado
855,2289,10/05/2025, 1159.96 ,Rechazado
856,25525,07/01/2025,"10.915,67",Abierto
857,1484,29/06/2025, 1471.64 ,Cerrado
858,2946,13/01/2026,12490.65,Rechazado
859,22653,2025/08/18, 7300.88 ,Cerrado
860,15538,2025-01-07, 14296.85 ,Abierto
863,6005,2025-01-06, 13650.52 ,Cerrado
864,20430,2025-10-05,"13.342,56",Cerrado
866,18456,2025-03-25,"13.514,54",Cerrado
867,3500,22/05/2025, 9701.84 ,Abierto
869,12599,2025/12/19,-,Abierto
870,15653,2025/09/09,8242.35,Rechazado
871,20090,2025-01-03,-,Rechazado
872,16566,11-20-25, 4539.83 ,Abierto
873,15212,07-21-25, 8365.73 ,Abierto
874,18047,11-22-25,"10,000.73",Rechazado
875,18074,04-05-25, 13160.02 ,Cerrado
878,10168,2025/10/22,"8.935,21",Cerrado
881,1160,13-02-2025,"14,837.14",Cerrado
882,15099,2025/04/11,"6,468.18",Rechazado
883,8904,27-04-2025,"6.133,42",Cerrado
884,2828,2025/07/16,-,Cerrado
887,15902,06-28-25, 4924.89 ,Cerrado
889,3295,2025/03/30, 3508.23 ,Abierto
890,12963,2025/07/26,4734.11,Rechazado
895,19216,14-01-2026,7478.23,Abierto
897,15786,2025/02/24,7020.23,Cerrado
899,13030,2026-01-29,348.08,Cerrado
900,17242,25/06/2025,"4,820.85",Rechazado
901,9443,08-04-2025,"9.973,45",Rechazado
903,24211,2025-04-21,"1.906,88",Cerrado
904,20112,05/01/2026,-14404.26,Abierto
905,19964,11-03-25,862.86,Cerrado
906,11499,11/11/2025,10802.07,Rechazado
907,10899,2025-10-03,-,Abierto
909,23985,2025/04/15,10199.91,Rechazado
912,7100,17/04/2025,-,Rechazado
913,24281,2025-06-18,559.31,Rechazado
914,3674,02-15-25,"822,39",Abierto
915,22534,05/09/2025,-,Abierto
916,21501,06-11-2025,"13.527,30",Abierto
918,7889,2025-01-25,9589.21,Rechazado
919,1612,01-17-25,"3,709.68",Abierto
921,635,05-18-25,8664.03,Rechazado
922,21030,08-12-25,9249.04,Abierto
923,15771,06/07/2025,4528.70,Cerrado
925,13202,2025/06/03,"9,733.32",Abierto
926,12960,17/05/2025,-,Cerrado
928,19642,14-10-2025,3641.04,Rechazado
932,18329,13/02/2026,12118.68,Cerrado
935,9187,2025/05/21, 9943.93 ,Rechazado
936,20440,26/05/2025,"9.412,71",Rechazado
